TF,GENE,abs
Ezh2,4833420G17Rik,4.151750050603782
Ezh2,AI467606,0.08288970396951267
Ezh2,Ablim1,4.325006729031384
Ezh2,Acap1,2.20885187237283
Ezh2,Acap2,0.1291012109591069
Ezh2,Acot13,1.4340899615464968
Ezh2,Adam19,2.9738064714543997
Ezh2,Adipor1,2.4477019957426727
Ezh2,Ahi1,4.325006729031384
Ezh2,Aifm1,0.8848993804688374
Ezh2,Akap9,4.151750050603782
Ezh2,Akr1b10,1.5624734634730446
Ezh2,Alkbh4,0.822006696074766
Ezh2,Ankhd1,4.325006729031384
Ezh2,Ankrd12,1.2739728220518731
Ezh2,Ankrd26,4.4078964330008965
Ezh2,Ankrd44,1.209339523142039
Ezh2,Anp32b,0.4455537861081915
Ezh2,Anp32e,2.4477019957426727
Ezh2,Ap3b1,4.4078964330008965
Ezh2,Ap4s1,0.9085849325841356
Ezh2,Aplp2,2.20885187237283
Ezh2,Arhgap15,4.325006729031384
Ezh2,Arhgef3,0.7808446212659739
Ezh2,Arid5b,2.20885187237283
Ezh2,Arl4a,1.7040480548611097
Ezh2,Armc1,3.2522778779490307
Ezh2,Arpc2,4.325006729031384
Ezh2,Arpc5,4.4078964330008965
Ezh2,Ash1l,1.5859597599083108
Ezh2,Asrgl1,0.9085849325841356
Ezh2,Atf7ip,4.325006729031384
Ezh2,Atg5,4.4078964330008965
Ezh2,Atp2b1,0.1732566784276015
Ezh2,Atp5a1,0.1732566784276015
Ezh2,Atp5c1,4.151750050603782
Ezh2,Atp5o,2.3455936843656673
Ezh2,Atp6v0a2,4.325006729031384
Ezh2,Atp6v1c1,1.5859597599083108
Ezh2,Atrx,1.0727288510823532
Ezh2,Atxn7l3b,4.325006729031384
Ezh2,Azi2,2.3455936843656673
Ezh2,BC004004,1.7040480548611097
Ezh2,Bag1,4.151750050603782
Ezh2,Bag4,4.151750050603782
Ezh2,Bag5,0.11546455686034993
Ezh2,Banf1,4.151750050603782
Ezh2,Baz1b,4.325006729031384
Ezh2,Baz2b,4.151750050603782
Ezh2,Bcas2,4.151750050603782
Ezh2,Bin3,3.837227381113687
Ezh2,Bptf,4.151750050603782
Ezh2,Brd7,4.4078964330008965
Ezh2,Btbd9,1.2739728220518731
Ezh2,Bzw1,4.325006729031384
Ezh2,C1qbp,0.26562839195007426
Ezh2,Calm1,0.6586011268449786
Ezh2,Calm2,1.405659039111144
Ezh2,Camk2d,1.5624734634730446
Ezh2,Casp8,0.8349040416094345
Ezh2,Casp8ap2,2.3455936843656673
Ezh2,Cblb,1.405659039111144
Ezh2,Ccdc47,4.4078964330008965
Ezh2,Ccdc82,0.3394661523669809
Ezh2,Ccdc88c,4.151750050603782
Ezh2,Ccnd2,4.325006729031384
Ezh2,Ccnh,1.5859597599083108
Ezh2,Ccnl1,0.4877793479176966
Ezh2,Ccnt2,4.325006729031384
Ezh2,Cct4,0.18655507638922308
Ezh2,Cct8,3.2522778779490307
Ezh2,Cd69,4.325006729031384
Ezh2,Cdk11b,4.4078964330008965
Ezh2,Cdkn2aipnl,3.2522778779490307
Ezh2,Chd2,1.765451274374349
Ezh2,Chmp2a,4.4078964330008965
Ezh2,Chmp5,4.151750050603782
Ezh2,Chn2,4.151750050603782
Ezh2,Clip1,0.7579687963001287
Ezh2,Clk2,3.837227381113687
Ezh2,Clta,4.325006729031384
Ezh2,Cnbp,0.4877793479176966
Ezh2,Cndp2,0.28185105382368364
Ezh2,Cnot4,4.151750050603782
Ezh2,Cnp,0.09924481745142616
Ezh2,Cog4,4.4078964330008965
Ezh2,Col4a3bp,1.1572917497715798
Ezh2,Commd4,0.3394661523669809
Ezh2,Cops3,3.837227381113687
Ezh2,Copz1,1.2926315995674715
Ezh2,Cox4i1,3.2522778779490307
Ezh2,Cox6a1,4.325006729031384
Ezh2,Cpsf6,3.2522778779490307
Ezh2,Cript,4.325006729031384
Ezh2,Csde1,4.325006729031384
Ezh2,Csnk1a1,0.1732566784276015
Ezh2,Ctps2,4.325006729031384
Ezh2,Cuta,3.2522778779490307
Ezh2,Cxcr3,0.8012382488487599
Ezh2,Cyld,0.8641413816760953
Ezh2,Cytip,2.20885187237283
Ezh2,Dazap2,4.151750050603782
Ezh2,Dctn3,4.4078964330008965
Ezh2,Dctn5,4.151750050603782
Ezh2,Dda1,4.4078964330008965
Ezh2,Ddhd2,1.739215276973206
Ezh2,Ddrgk1,4.325006729031384
Ezh2,Ddx5,4.151750050603782
Ezh2,Ddx52,4.4078964330008965
Ezh2,Ddx6,3.837227381113687
Ezh2,Dek,2.5642704615289786
Ezh2,Denr,1.522742508521074
Ezh2,Derl2,3.699432906179278
Ezh2,Dgka,0.7579687963001287
Ezh2,Dguok,4.4078964330008965
Ezh2,Dhx15,3.837227381113687
Ezh2,Dhx16,0.8549011321325234
Ezh2,Dhx29,1.0924413058769036
Ezh2,Dnajc3,2.20885187237283
Ezh2,Dnttip2,1.5859597599083108
Ezh2,Dock11,2.20885187237283
Ezh2,Dock2,1.5624734634730446
Ezh2,Dpp8,3.837227381113687
Ezh2,Drg1,2.4477019957426727
Ezh2,Ebna1bp2,2.4477019957426727
Ezh2,Ecd,0.08288970396951267
Ezh2,Eea1,4.4078964330008965
Ezh2,Efhd2,0.09285942203286747
Ezh2,Eif2b4,1.522742508521074
Ezh2,Eif3d,0.1732566784276015
Ezh2,Eif3i,4.325006729031384
Ezh2,Eif4g2,4.4078964330008965
Ezh2,Eif5b,4.325006729031384
Ezh2,Elk4,4.151750050603782
Ezh2,Emg1,4.4078964330008965
Ezh2,Emp3,4.325006729031384
Ezh2,Exosc2,1.765451274374349
Ezh2,Ezh2,2.4477019957426727
Ezh2,Fam114a2,0.6713625060786887
Ezh2,Fam172a,2.4477019957426727
Ezh2,Fam49a,1.8466188388378866
Ezh2,Fam96a,4.151750050603782
Ezh2,Fam98a,4.151750050603782
Ezh2,Fam98b,2.3455936843656673
Ezh2,Far1,0.3707505346508619
Ezh2,Fastk,3.2522778779490307
Ezh2,Fbxw2,4.4078964330008965
Ezh2,Fgfr1op2,2.3455936843656673
Ezh2,Fli1,4.325006729031384
Ezh2,Fnbp4,1.4268416090993767
Ezh2,Fryl,2.3455936843656673
Ezh2,Fundc2,4.4078964330008965
Ezh2,Fyb,4.151750050603782
Ezh2,Fyco1,4.4078964330008965
Ezh2,Fyn,3.837227381113687
Ezh2,Git2,4.4078964330008965
Ezh2,Gna15,2.20885187237283
Ezh2,Gnai2,0.1732566784276015
Ezh2,Gnai3,1.7040480548611097
Ezh2,Gnl2,2.20885187237283
Ezh2,Golga3,4.325006729031384
Ezh2,Golim4,0.11302743954367256
Ezh2,Gprin3,0.3993884131690516
Ezh2,Gsk3b,0.23885012336984257
Ezh2,Gusb,0.5728826919504324
Ezh2,Hcfc1,4.325006729031384
Ezh2,Hdlbp,4.325006729031384
Ezh2,Herc4,4.325006729031384
Ezh2,Herpud1,0.44374614241039534
Ezh2,Hes6,1.5624734634730446
Ezh2,Hif1a,3.9660491940045044
Ezh2,Hint1,4.151750050603782
Ezh2,Hnrnpr,0.1732566784276015
Ezh2,Hsd17b11,4.151750050603782
Ezh2,Hspa4,4.151750050603782
Ezh2,Hspa5,2.3455936843656673
Ezh2,Hsph1,4.325006729031384
Ezh2,Htatsf1,4.151750050603782
Ezh2,Idh3b,4.325006729031384
Ezh2,Ift20,4.325006729031384
Ezh2,Igtp,1.4340899615464968
Ezh2,Ikzf1,2.4477019957426727
Ezh2,Il2rb,0.3535818976048176
Ezh2,Il2rg,4.325006729031384
Ezh2,Immt,4.4078964330008965
Ezh2,Imp4,3.2522778779490307
Ezh2,Impa1,2.237353291824227
Ezh2,Irf1,0.2677490607166667
Ezh2,Irf9,0.005631310112141802
Ezh2,Itch,4.318883491776006
Ezh2,Itm2c,3.2522778779490307
Ezh2,Katna1,4.325006729031384
Ezh2,Kcnh2,2.3455936843656673
Ezh2,Kdm4c,2.20885187237283
Ezh2,Kdm5a,4.4078964330008965
Ezh2,Klf6,1.1550703961752011
Ezh2,L3mbtl3,4.151750050603782
Ezh2,Lck,0.8641413816760953
Ezh2,Ldha,4.4078964330008965
Ezh2,Lin7c,1.2587297266298787
Ezh2,Lonp2,1.209339523142039
Ezh2,Lrch3,4.4078964330008965
Ezh2,Lta4h,4.151750050603782
Ezh2,Man1a2,0.3993884131690516
Ezh2,Map2k2,2.4477019957426727
Ezh2,Map3k2,2.4477019957426727
Ezh2,Mapre2,2.730186681412996
Ezh2,Mark3,0.1732566784276015
Ezh2,Mat2b,2.3455936843656673
Ezh2,Mbnl1,4.151750050603782
Ezh2,Mdm4,4.151750050603782
Ezh2,Med11,2.4477019957426727
Ezh2,Med19,4.325006729031384
Ezh2,Med28,4.151750050603782
Ezh2,Med30,0.05558832144653458
Ezh2,Med4,4.4078964330008965
Ezh2,Mff,4.325006729031384
Ezh2,Mical1,0.733180232434228
Ezh2,Mier1,4.4078964330008965
Ezh2,Mitd1,2.4477019957426727
Ezh2,Mlec,1.9601944372582238
Ezh2,Mphosph8,4.325006729031384
Ezh2,Mrpl28,1.5624734634730446
Ezh2,Mrps23,4.151750050603782
Ezh2,Mrps26,0.3119687883813895
Ezh2,Mrps34,0.6883813703998973
Ezh2,Myh11,3.2522778779490307
Ezh2,Myh9,0.8641413816760953
Ezh2,Nae1,4.151750050603782
Ezh2,Nap1l4,4.325006729031384
Ezh2,Ncl,1.4555284978292833
Ezh2,Ndufa8,3.837227381113687
Ezh2,Ndufa9,4.151750050603782
Ezh2,Ndufb11,1.405659039111144
Ezh2,Ndufb5,2.4477019957426727
Ezh2,Ndufb7,4.4078964330008965
Ezh2,Ndufs2,4.4078964330008965
Ezh2,Ndufs7,2.3455936843656673
Ezh2,Necap2,4.151750050603782
Ezh2,Nedd8,4.151750050603782
Ezh2,Nedd9,4.4078964330008965
Ezh2,Nfx1,0.6713625060786887
Ezh2,Nisch,0.2185641306247494
Ezh2,Nop58,4.325006729031384
Ezh2,Nrd1,4.325006729031384
Ezh2,Nsun2,0.8549011321325234
Ezh2,Nubp1,0.8641413816760953
Ezh2,Nudcd2,4.325006729031384
Ezh2,Ogfr,1.522742508521074
Ezh2,Ogt,4.151750050603782
Ezh2,Paf1,1.739215276973206
Ezh2,Paip2,0.08288970396951267
Ezh2,Pak2,2.20885187237283
Ezh2,Papola,4.325006729031384
Ezh2,Pcnt,2.237353291824227
Ezh2,Pdap1,4.325006729031384
Ezh2,Pdcd1,0.9072665897333916
Ezh2,Pdcd4,4.4078964330008965
Ezh2,Pdcd6,4.325006729031384
Ezh2,Pde4b,4.325006729031384
Ezh2,Pdhb,0.3394661523669809
Ezh2,Penk,0.3707505346508619
Ezh2,Phf20,0.6255738228521056
Ezh2,Phf20l1,4.325006729031384
Ezh2,Phf6,4.325006729031384
Ezh2,Pigk,0.23649241236091445
Ezh2,Pink1,4.4078964330008965
Ezh2,Pip4k2a,0.07240793138442005
Ezh2,Pja2,4.151750050603782
Ezh2,Pkp3,0.29208073380744903
Ezh2,Plcxd2,0.8349040416094345
Ezh2,Pmm2,1.209339523142039
Ezh2,Pnrc1,1.2926315995674715
Ezh2,Ppil4,1.765451274374349
Ezh2,Ppp1r15b,1.739215276973206
Ezh2,Ppp1r7,4.325006729031384
Ezh2,Ppp6r3,4.151750050603782
Ezh2,Prkar1a,3.2522778779490307
Ezh2,Prkca,1.765451274374349
Ezh2,Prpf39,1.1572917497715798
Ezh2,Psip1,4.4078964330008965
Ezh2,Psma2,0.5791800525232004
Ezh2,Psmc2,4.325006729031384
Ezh2,Psmc4,4.4078964330008965
Ezh2,Ptpn2,4.4078964330008965
Ezh2,Puf60,4.325006729031384
Ezh2,Pum1,2.4477019957426727
Ezh2,Rab10,1.522742508521074
Ezh2,Rab2a,4.325006729031384
Ezh2,Rad50,1.689804414475986
Ezh2,Ranbp1,1.405659039111144
Ezh2,Rap1b,4.4078964330008965
Ezh2,Rapgef6,4.151750050603782
Ezh2,Rars,4.4078964330008965
Ezh2,Rasa2,0.8549011321325234
Ezh2,Rbbp5,4.325006729031384
Ezh2,Rbm17,4.4078964330008965
Ezh2,Rbm22,0.1732566784276015
Ezh2,Rbm5,3.837227381113687
Ezh2,Rbmx,4.151750050603782
Ezh2,Rchy1,4.325006729031384
Ezh2,Rdx,2.642445158626548
Ezh2,Rest,4.325006729031384
Ezh2,Rfk,0.2185641306247494
Ezh2,Rhog,4.151750050603782
Ezh2,Rora,4.325006729031384
Ezh2,Rpl4,4.4078964330008965
Ezh2,Rpl8,0.6883813703998973
Ezh2,Rspry1,4.325006729031384
Ezh2,Rsrc1,2.20885187237283
Ezh2,Samhd1,4.4078964330008965
Ezh2,Samm50,1.209339523142039
Ezh2,Samsn1,1.0924413058769036
Ezh2,Sar1b,1.5859597599083108
Ezh2,Scaf11,4.325006729031384
Ezh2,Sdad1,4.325006729031384
Ezh2,Sdccag8,1.8748193037922403
Ezh2,Sdha,4.325006729031384
Ezh2,Sec13,4.151750050603782
Ezh2,Selplg,4.151750050603782
Ezh2,Sept4,3.2522778779490307
Ezh2,Sept7,4.4078964330008965
Ezh2,Serp1,3.837227381113687
Ezh2,Sertad3,4.4078964330008965
Ezh2,Setd5,4.4078964330008965
Ezh2,Setx,1.3381347999966922
Ezh2,Sf3b1,1.5859597599083108
Ezh2,Sf3b5,4.325006729031384
Ezh2,Sh3bgrl,4.4078964330008965
Ezh2,Sh3kbp1,2.4477019957426727
Ezh2,Sla,0.8641413816760953
Ezh2,Sla2,4.4078964330008965
Ezh2,Slc25a3,2.4477019957426727
Ezh2,Slc25a4,4.4078964330008965
Ezh2,Slc50a1,3.2522778779490307
Ezh2,Slc9a3r1,4.4078964330008965
Ezh2,Sltm,4.151750050603782
Ezh2,Smarca4,3.837227381113687
Ezh2,Smc1a,2.3455936843656673
Ezh2,Smc5,3.2522778779490307
Ezh2,Smc6,4.325006729031384
Ezh2,Smg1,0.6713625060786887
Ezh2,Smu1,3.837227381113687
Ezh2,Snap29,4.151750050603782
Ezh2,Snrnp40,2.3455936843656673
Ezh2,Snw1,2.4477019957426727
Ezh2,Snx17,0.29208073380744903
Ezh2,Sorl1,0.5791800525232004
Ezh2,Spcs2,4.151750050603782
Ezh2,Sri,4.151750050603782
Ezh2,Srp9,4.325006729031384
Ezh2,Srpk1,2.4477019957426727
Ezh2,Srsf6,4.325006729031384
Ezh2,Ssrp1,4.4078964330008965
Ezh2,St13,2.4477019957426727
Ezh2,St6galnac3,1.0924413058769036
Ezh2,Stk17b,0.15563314913907847
Ezh2,Stk38,4.325006729031384
Ezh2,Stk4,4.4078964330008965
Ezh2,Stt3a,1.806156366238115
Ezh2,Stx17,4.0970358185976155
Ezh2,Sub1,4.151750050603782
Ezh2,Sumo3,0.8848993804688374
Ezh2,Sys1,4.325006729031384
Ezh2,Taf12,4.151750050603782
Ezh2,Taf15,4.151750050603782
Ezh2,Taf3,0.1732566784276015
Ezh2,Taf6l,1.0924413058769036
Ezh2,Taf7,4.151750050603782
Ezh2,Taok3,4.325006729031384
Ezh2,Tap1,1.765451274374349
Ezh2,Tbc1d15,1.765451274374349
Ezh2,Tbcb,1.5624734634730446
Ezh2,Tbx21,2.3455936843656673
Ezh2,Tcf25,1.522742508521074
Ezh2,Tcf7,4.151750050603782
Ezh2,Terf2ip,4.151750050603782
Ezh2,Timm17a,4.325006729031384
Ezh2,Timm50,3.837227381113687
Ezh2,Tm9sf2,4.325006729031384
Ezh2,Tmem127,4.4078964330008965
Ezh2,Tmem167,2.20885187237283
Ezh2,Tmem208,4.325006729031384
Ezh2,Tmem87a,4.4078964330008965
Ezh2,Tmod3,0.1857008565992779
Ezh2,Tmx1,0.08288970396951267
Ezh2,Tnpo3,4.325006729031384
Ezh2,Tnrc6b,4.325006729031384
Ezh2,Tomm22,4.325006729031384
Ezh2,Top1,4.325006729031384
Ezh2,Top3b,0.1732566784276015
Ezh2,Topors,1.765451274374349
Ezh2,Tpm4,2.20885187237283
Ezh2,Tra2a,2.20885187237283
Ezh2,Traf1,3.2522778779490307
Ezh2,Trip12,4.325006729031384
Ezh2,Trpm7,2.4477019957426727
Ezh2,Tsnax,4.151750050603782
Ezh2,Ttc1,4.151750050603782
Ezh2,Ttc39b,4.325006729031384
Ezh2,Ttf1,1.0727288510823532
Ezh2,Txk,1.1572917497715798
Ezh2,Txnip,0.08288970396951267
Ezh2,Txnl1,4.325006729031384
Ezh2,Uba1,3.837227381113687
Ezh2,Uba2,3.2522778779490307
Ezh2,Uba5,4.325006729031384
Ezh2,Ube2b,4.325006729031384
Ezh2,Ube2g2,2.3455936843656673
Ezh2,Ube2l3,0.3707505346508619
Ezh2,Ubn2,4.325006729031384
Ezh2,Ubr5,1.4555284978292833
Ezh2,Uchl5,2.20885187237283
Ezh2,Upf2,4.4078964330008965
Ezh2,Usp1,4.325006729031384
Ezh2,Usp16,4.325006729031384
Ezh2,Usp25,0.6485315970094958
Ezh2,Usp47,1.1572917497715798
Ezh2,Usp8,4.4078964330008965
Ezh2,Utp3,2.4477019957426727
Ezh2,Utrn,0.8641413816760953
Ezh2,Vapa,3.2522778779490307
Ezh2,Vcpip1,4.325006729031384
Ezh2,Vdac2,4.325006729031384
Ezh2,Vim,0.5963923209594286
Ezh2,Vmp1,4.325006729031384
Ezh2,Vps29,1.116919677364853
Ezh2,Vps4b,4.4078964330008965
Ezh2,Vrk1,0.3500524858428913
Ezh2,Vti1b,4.325006729031384
Ezh2,Wdr33,2.4477019957426727
