TF	target	importance
Klf6	Lncpint	20.53101640873407
Rest	Tmem208	20.1903815445401
Chd1	Kmt5b	18.97262986754022
Hif1a	Gnai3	18.87993594198651
Prdx5	Mrpl30	18.131759314220517
Zfp148	BC005624	17.670127815602882
Tsc22d4	Atp5a1	16.69095918525063
Zfp24	Mrpl30	16.344437536235304
Rlf	Cops8	15.873415590524182
Pole3	Ddx52	15.632740437272604
Hif1a	Me2	15.096268802379182
Noc2l	Fubp1	14.695807023595876
Zfp148	Desi2	14.552285164848351
Nr4a2	Eif4g1	14.27352037812052
Bhlhe40	Pja1	13.399307820340095
Rlf	Atp6ap1	13.290049200435517
Hp1bp3	Zfp512	13.180668817617589
Klf6	Rnasel	12.849556580792411
Klf6	Ppp6r3	12.050309481549615
Chd1	Fubp1	12.003531001746019
P4hb	Stk17b	11.969358373053952
Klf6	Golm1	11.842407231447226
Zfp24	Akap8l	11.790052181327455
P4hb	Smarcc1	11.789073667349534
Klf3	Pja1	11.642506677106715
Rlf	M6pr	11.545946763730445
Gtf2f1	Banf1	11.479588576831935
Zfp407	Psmd6	11.36416910159306
Rlf	Arpc5	11.354339713331466
Xbp1	Nans	11.327904141601666
Zfp148	Mrpl30	11.038292334187545
Smarcc2	Sla2	10.835392235823193
Zfp24	Me2	10.416698550028032
Ctcf	Kmt5b	10.190562542870113
Prdx5	Dhx16	9.959862248487502
Tsc22d4	Vps35	9.839953239405702
Taf7	Pld3	9.68508027571172
Pole3	Lsm14a	9.620007732971077
Irf2	Fasl	9.563166296115403
Ecsit	Mrpl30	9.549459175922303
Lef1	Rnasel	9.524710644556064
Foxn3	March2	9.514186158462733
Psmd12	Itpr2	9.510020215108659
Zfp646	Fermt3	9.44442833735233
Hspa5	Rsbn1l	9.349310715357726
Hp1bp3	Zfand6	9.321808714838625
Smarca4	Cox6a1	9.316097019531213
Hif1a	Dcaf11	9.29491616507845
Nr4a2	Naa50	9.232924352813724
Kdm5a	Fubp1	9.229099101445671
Mef2a	Psmd6	9.18012765328303
Id2	Pigk	9.051607820895276
Smap2	Naa50	9.041367976228697
Cers2	Naa50	9.01216048866654
Sp100	Selenof	8.915635536547244
Kdm4c	Kmt5b	8.89159906635394
Zfp664	Phip	8.854403610493465
Ikzf3	Vim	8.763777941913634
Zfp24	Asxl2	8.742958503990812
Smarca4	Pttg1	8.69766388612775
Hif1a	March2	8.689624050389208
Hcfc1	Selenof	8.65725949359852
Foxn3	Oard1	8.653279943967345
