TF	target	importance
Zfp326	Icos	349.98419020594645
Zfp326	Cd9	349.98419020594645
Zfp326	Cd200r2	349.98419020594645
Zfp326	Usp18	349.98419020594645
Zfp326	Fam169b	349.98419020594645
Zfp326	Cep57	349.98419020594645
Zfp326	Rnf219	349.98419020594645
Hnrnph3	Fam46c	323.2649472103885
Hnrnph3	Tnfrsf9	323.2649472103885
Hnrnph3	Prss2	323.2649472103885
Hnrnph3	Gpatch11	323.2649472103885
Rela	Tnfrsf9	267.6265680516158
Rela	Gpatch11	267.6265680516158
Rela	Fam46c	267.6265680516158
Rela	Prss2	267.6265680516158
Hnrnph3	Rnf219	263.162450873457
Hnrnph3	Usp18	263.162450873457
Hnrnph3	Fam169b	263.162450873457
Hnrnph3	Cd200r2	263.162450873457
Hnrnph3	Cep57	263.162450873457
Hnrnph3	Icos	263.162450873457
Hnrnph3	Cd9	263.162450873457
Rbm17	Prss2	244.94093489537804
Rbm17	Gpatch11	244.94093489537804
Rbm17	Fam46c	244.94093489537804
Rbm17	Tnfrsf9	244.94093489537804
Zeb1	Prss2	235.41935928895717
Zeb1	Gpatch11	235.41935928895717
Zeb1	Fam46c	235.41935928895717
Zeb1	Tnfrsf9	235.41935928895717
Stat4	Cd9	233.8573801667728
Stat4	Icos	233.8573801667728
Stat4	Fam169b	233.8573801667728
Stat4	Usp18	233.8573801667728
Stat4	Cd200r2	233.8573801667728
Stat4	Rnf219	233.8573801667728
Stat4	Cep57	233.8573801667728
Rbm17	Fam169b	221.65149017560262
Rbm17	Usp18	221.65149017560262
Rbm17	Rnf219	221.65149017560262
Rbm17	Icos	221.65149017560262
Rbm17	Cd200r2	221.65149017560262
Rbm17	Cep57	221.65149017560262
Rbm17	Cd9	221.65149017560262
Zeb1	Icos	208.19721875196487
Zeb1	Cep57	208.19721875196487
Zeb1	Fam169b	208.19721875196487
Zeb1	Usp18	208.19721875196487
Zeb1	Cd9	208.19721875196487
Zeb1	Cd200r2	208.19721875196487
Zeb1	Rnf219	208.19721875196487
Psmc2	Rnf219	206.15606954851424
Psmc2	Cep57	206.15606954851424
Psmc2	Fam169b	206.15606954851424
Psmc2	Icos	206.15606954851424
Psmc2	Usp18	206.15606954851424
Psmc2	Cd9	206.15606954851424
Psmc2	Cd200r2	206.15606954851424
Irf7	Usp18	204.22426762381986
Irf7	Cd9	204.22426762381986
Irf7	Cd200r2	204.22426762381986
Irf7	Rnf219	204.22426762381986
Irf7	Cep57	204.22426762381986
Irf7	Fam169b	204.22426762381986
Irf7	Icos	204.22426762381986
Irf7	Tnfrsf9	204.02159095816427
Irf7	Gpatch11	204.02159095816427
Irf7	Prss2	204.02159095816427
Irf7	Fam46c	204.02159095816427
Rab2a	Gpatch11	198.35550793510396
Rab2a	Prss2	198.35550793510396
Rab2a	Tnfrsf9	198.35550793510396
Rab2a	Fam46c	198.35550793510396
Lef1	Usp18	176.41360972680494
Lef1	Cd9	176.41360972680494
Lef1	Rnf219	176.41360972680494
Lef1	Cd200r2	176.41360972680494
Lef1	Fam169b	176.41360972680494
Lef1	Cep57	176.41360972680494
Lef1	Icos	176.41360972680494
Parp1	Gpatch11	172.47471517939616
Parp1	Tnfrsf9	172.47471517939616
Parp1	Prss2	172.47471517939616
Parp1	Fam46c	172.47471517939616
Setbp1	Rnf219	169.12379114305264
Setbp1	Cd9	169.12379114305264
Setbp1	Icos	169.12379114305264
Setbp1	Cep57	169.12379114305264
Setbp1	Usp18	169.12379114305264
Setbp1	Cd200r2	169.12379114305264
Setbp1	Fam169b	169.12379114305264
Hltf	Prss2	166.43186958689833
Hltf	Fam46c	166.43186958689833
Hltf	Gpatch11	166.43186958689833
Hltf	Tnfrsf9	166.43186958689833
Rfc2	Usp18	153.8151721171729
Rfc2	Fam169b	153.8151721171729
Rfc2	Cd200r2	153.8151721171729
Rfc2	Cep57	153.8151721171729
Rfc2	Icos	153.8151721171729
Rfc2	Cd9	153.8151721171729
Rfc2	Rnf219	153.8151721171729
Hltf	Cd200r2	149.80577189610915
Hltf	Usp18	149.80577189610915
Hltf	Cd9	149.80577189610915
Hltf	Rnf219	149.80577189610915
Hltf	Fam169b	149.80577189610915
Hltf	Cep57	149.80577189610915
Hltf	Icos	149.80577189610915
